City_ID,City,Country,Cloudiness,Humidity,Lat,Lng,Max_Temp,Wind_Speed
1,eureka,US,66,7,40.8,-124.16,59,4.43
2,hilo,US,75,65,19.73,-155.09,82.4,10.29
3,albany,US,3,87,42.6,-73.97,78.01,4.76
4,hofn,IS,93,75,64.25,-15.21,52.61,1.16
5,zeya,RU,15,43,53.75,127.27,73.06,12.44
6,torbay,CA,90,93,47.67,-52.73,64.4,23.04
7,bluff,NZ,97,77,-46.6,168.33,52.02,6.38
8,san patricio,MX,40,79,19.22,-104.7,84.2,18.34
9,ust-maya,RU,92,46,60.42,134.53,74.21,17.07
10,kapaa,US,90,74,22.08,-159.32,82,11.41
11,port alfred,ZA,0,68,-33.59,26.89,57.67,3.6
12,atuona,PF,35,78,-9.8,-139.03,80.4,18.41
13,bengkulu,ID,78,62,-3.8,102.27,85.28,3.29
14,ushuaia,AR,0,100,-54.8,-68.3,28.4,5.82
15,mataura,NZ,100,75,-46.19,168.86,51.67,3.53
16,jamestown,US,1,68,42.1,-79.24,69.8,6.93
17,vila,PT,25,86,42.03,-8.16,63,1.99
18,oriximina,BR,6,68,-1.77,-55.87,77.68,3.47
19,thinadhoo,MV,98,75,0.53,72.93,84.07,13.44
20,busselton,AU,100,43,-33.65,115.33,64.99,18.63
21,rafraf,TN,0,68,37.19,10.18,69.8,3.36
22,dubbo,AU,0,62,-32.25,148.62,55.4,5.82
23,quatre cocos,MU,75,56,-20.21,57.76,69.8,11.41
24,dingle,PH,42,80,11,122.67,83.14,4.63
25,port blair,IN,100,69,11.67,92.75,84.36,4.23
26,saint george,US,1,12,37.1,-113.58,100.4,14.99
27,houma,US,1,88,29.6,-90.72,80.6,3.36
28,lompoc,US,6,77,34.64,-120.46,62.6,11.41
29,pringsewu,ID,47,66,-5.36,104.97,85.62,2.57
30,lasa,IT,5,100,46.62,10.7,57.2,1.77
31,vokhtoga,RU,100,98,58.81,41.05,60.1,5.99
32,muli,MV,100,74,2.92,73.57,84.18,17.74
33,punta arenas,CL,4,92,-53.15,-70.92,30.2,9.17
34,castro,BR,9,80,-24.79,-50.01,54.79,3.96
35,upernavik,GL,54,57,72.79,-56.15,46.99,7.07
36,obo,CF,30,97,5.4,26.49,64.85,0.74
37,akdepe,TM,0,36,42.06,59.38,82.4,6.93
38,rikitea,PF,88,72,-23.12,-134.97,67.21,18.63
39,beringovskiy,RU,95,75,63.05,179.32,46.99,10.27
40,norman wells,CA,75,77,65.28,-126.83,62.6,13.87
41,payo,ID,98,57,-3.75,103.64,86.92,3.13
42,gravdal,NO,95,74,68.12,13.5,53.28,4.09
43,barrow,US,90,86,71.29,-156.79,33.8,5.82
44,san,ML,40,70,13.3,-4.9,79.79,10.69
45,ternate,ID,62,66,0.8,127.4,84.06,4.34
46,sao filipe,CV,45,83,14.9,-24.5,75.85,9.8
47,awbari,LY,0,36,26.59,12.78,80.49,14.47
48,tabou,CI,70,91,4.42,-7.35,75.13,8.48
49,soyo,AO,40,88,-6.13,12.37,71.26,5.1
50,provideniya,RU,90,81,64.38,-173.3,50,11.18
51,sabha,LY,0,37,27.04,14.43,78.78,14.99
52,coquimbo,CL,86,93,-29.95,-71.34,50,3.36
53,lagoa,PT,0,70,39.05,-27.98,68.4,2.84
54,portland,US,0,14,45.52,-122.68,89.01,8.08
55,bandarbeyla,SO,93,58,9.49,50.81,79.68,28.03
56,salalah,OM,90,100,17.02,54.09,78.8,3.36
57,goderich,CA,44,83,43.75,-81.72,68,8.12
58,avarua,CK,100,78,-21.21,-159.78,77,17.22
59,cockburn town,TC,62,78,21.46,-71.14,83.1,22.24
60,east london,ZA,0,43,-33.02,27.91,60.71,5.26
61,sunland park,US,90,37,31.8,-106.58,82.4,8.05
62,thabazimbi,ZA,0,56,-24.59,27.41,44.2,1.92
63,kyshtovka,RU,30,77,56.55,76.63,59.07,12.28
64,port elizabeth,ZA,75,100,-33.92,25.57,53.6,4.7
65,pueblo nuevo,MX,100,100,23.38,-105.38,59.92,1.43
66,ilulissat,GL,100,46,69.22,-51.1,53.6,2.24
67,vaini,TO,20,60,-21.2,-175.2,75.2,9.17
68,brigantine,US,75,66,39.41,-74.36,87.8,4.7
69,constitucion,CL,99,87,-35.33,-72.42,52.14,12.73
